Timestamp,Memory_Usage_Percent,Memory_Used_GB,Memory_Total_GB
2026-02-16 16:04:05,8.8,22.52,255.69
2026-02-16 16:04:15,8.8,22.52,255.69
2026-02-16 16:04:25,8.8,22.51,255.69
2026-02-16 16:04:35,8.8,22.52,255.69
2026-02-16 16:04:45,8.8,22.52,255.69
2026-02-16 16:04:55,8.8,22.51,255.69
2026-02-16 16:05:05,8.8,22.52,255.69
2026-02-16 16:05:15,8.8,22.51,255.69
2026-02-16 16:05:25,8.8,22.52,255.69
2026-02-16 16:05:35,8.8,22.52,255.69
2026-02-16 16:05:45,8.8,22.52,255.69
2026-02-16 16:05:55,8.8,22.52,255.69
2026-02-16 16:06:05,8.8,22.52,255.69
2026-02-16 16:06:15,8.8,22.54,255.69
2026-02-16 16:06:25,8.8,22.52,255.69
2026-02-16 16:06:35,8.8,22.52,255.69
2026-02-16 16:06:45,8.8,22.51,255.69
2026-02-16 16:06:55,8.8,22.53,255.69
2026-02-16 16:07:05,8.8,22.53,255.69
2026-02-16 16:07:15,8.8,22.53,255.69
2026-02-16 16:07:25,8.8,22.51,255.69
2026-02-16 16:07:35,8.8,22.52,255.69
2026-02-16 16:07:46,8.8,22.52,255.69
2026-02-16 16:07:56,8.8,22.53,255.69
2026-02-16 16:08:06,8.8,22.52,255.69
2026-02-16 16:08:16,8.8,22.54,255.69
2026-02-16 16:08:26,8.8,22.52,255.69
2026-02-16 16:08:36,8.8,22.53,255.69
2026-02-16 16:08:46,8.8,22.53,255.69
2026-02-16 16:08:56,8.8,22.53,255.69
2026-02-16 16:09:06,8.8,22.54,255.69
2026-02-16 16:09:16,8.8,22.52,255.69
2026-02-16 16:09:26,8.8,22.52,255.69
2026-02-16 16:09:36,8.8,22.52,255.69
2026-02-16 16:09:46,8.8,22.53,255.69
2026-02-16 16:09:56,8.8,22.53,255.69
2026-02-16 16:10:06,8.8,22.53,255.69
2026-02-16 16:10:16,8.8,22.51,255.69
2026-02-16 16:10:26,8.8,22.51,255.69
2026-02-16 16:10:36,8.8,22.53,255.69
2026-02-16 16:10:46,8.8,22.52,255.69
2026-02-16 16:10:56,8.8,22.55,255.69
2026-02-16 16:11:06,8.8,22.53,255.69
2026-02-16 16:11:16,8.8,22.58,255.69
2026-02-16 16:11:26,8.8,22.52,255.69
2026-02-16 16:11:36,8.8,22.53,255.69
2026-02-16 16:11:46,8.8,22.53,255.69
2026-02-16 16:11:56,8.8,22.55,255.69
2026-02-16 16:12:06,8.8,22.57,255.69
2026-02-16 16:12:16,8.8,22.52,255.69
2026-02-16 16:12:26,8.8,22.52,255.69
2026-02-16 16:12:36,8.8,22.53,255.69
2026-02-16 16:12:46,8.8,22.52,255.69
2026-02-16 16:12:56,8.8,22.53,255.69
2026-02-16 16:13:06,8.8,22.53,255.69
2026-02-16 16:13:16,8.8,22.52,255.69
2026-02-16 16:13:26,8.8,22.52,255.69
2026-02-16 16:13:36,8.8,22.53,255.69
2026-02-16 16:13:46,8.8,22.53,255.69
2026-02-16 16:13:56,8.8,22.53,255.69
2026-02-16 16:14:06,8.8,22.52,255.69
2026-02-16 16:14:16,8.8,22.52,255.69
2026-02-16 16:14:26,8.8,22.53,255.69
2026-02-16 16:14:36,8.8,22.54,255.69
2026-02-16 16:14:46,8.8,22.53,255.69
2026-02-16 16:14:56,8.8,22.53,255.69
2026-02-16 16:15:06,8.8,22.53,255.69
2026-02-16 16:15:16,8.8,22.53,255.69
2026-02-16 16:15:26,8.8,22.55,255.69
2026-02-16 16:15:37,8.8,22.54,255.69
2026-02-16 16:15:47,8.8,22.53,255.69
2026-02-16 16:15:57,8.8,22.53,255.69
2026-02-16 16:16:07,8.8,22.52,255.69
2026-02-16 16:16:17,8.8,22.52,255.69
2026-02-16 16:16:27,8.8,22.52,255.69
2026-02-16 16:16:37,8.8,22.52,255.69
2026-02-16 16:16:47,8.8,22.53,255.69
2026-02-16 16:16:57,8.8,22.52,255.69
2026-02-16 16:17:07,8.8,22.52,255.69
2026-02-16 16:17:17,8.8,22.51,255.69
2026-02-16 16:17:27,8.8,22.52,255.69
2026-02-16 16:17:37,8.8,22.54,255.69
2026-02-16 16:17:47,8.8,22.52,255.69
2026-02-16 16:17:57,8.8,22.51,255.69
2026-02-16 16:18:07,8.8,22.52,255.69
2026-02-16 16:18:17,8.8,22.52,255.69
2026-02-16 16:18:27,8.8,22.52,255.69
2026-02-16 16:18:37,8.8,22.52,255.69
2026-02-16 16:18:47,8.8,22.53,255.69
2026-02-16 16:18:57,8.8,22.53,255.69
2026-02-16 16:19:07,8.8,22.52,255.69
2026-02-16 16:19:17,8.8,22.52,255.69
2026-02-16 16:19:27,8.8,22.52,255.69
2026-02-16 16:19:37,8.8,22.53,255.69
2026-02-16 16:19:47,8.8,22.53,255.69
2026-02-16 16:19:57,8.8,22.52,255.69
2026-02-16 16:20:07,8.8,22.52,255.69
2026-02-16 16:20:17,8.8,22.52,255.69
2026-02-16 16:20:27,8.8,22.52,255.69
2026-02-16 16:20:37,8.8,22.52,255.69
2026-02-16 16:20:47,8.8,22.52,255.69
2026-02-16 16:20:57,8.8,22.51,255.69
2026-02-16 16:21:07,8.8,22.52,255.69
2026-02-16 16:21:17,8.8,22.51,255.69
2026-02-16 16:21:27,8.8,22.52,255.69
2026-02-16 16:21:37,8.8,22.53,255.69
2026-02-16 16:21:47,8.8,22.53,255.69
2026-02-16 16:21:57,8.8,22.53,255.69
2026-02-16 16:22:07,8.8,22.52,255.69
2026-02-16 16:22:17,8.8,22.52,255.69
2026-02-16 16:22:27,8.8,22.51,255.69
2026-02-16 16:22:37,8.8,22.52,255.69
2026-02-16 16:22:47,8.8,22.52,255.69
2026-02-16 16:22:57,8.8,22.52,255.69
2026-02-16 16:23:07,8.8,22.52,255.69
2026-02-16 16:23:17,8.8,22.53,255.69
2026-02-16 16:23:27,8.8,22.52,255.69
2026-02-16 16:23:37,8.8,22.53,255.69
2026-02-16 16:23:47,8.8,22.53,255.69
2026-02-16 16:23:58,8.8,22.52,255.69
2026-02-16 16:24:08,8.8,22.53,255.69
2026-02-16 16:24:18,8.8,22.53,255.69
2026-02-16 16:24:28,8.8,22.53,255.69
2026-02-16 16:24:38,8.8,22.53,255.69
2026-02-16 16:24:48,8.8,22.53,255.69
2026-02-16 16:24:58,8.8,22.52,255.69
2026-02-16 16:25:08,8.8,22.53,255.69
2026-02-16 16:25:18,8.8,22.52,255.69
2026-02-16 16:25:28,8.8,22.52,255.69
2026-02-16 16:25:38,8.8,22.53,255.69
2026-02-16 16:25:48,8.8,22.53,255.69
2026-02-16 16:25:58,8.8,22.53,255.69
2026-02-16 16:26:08,8.8,22.53,255.69
2026-02-16 16:26:18,8.8,22.53,255.69
2026-02-16 16:26:28,8.8,22.53,255.69
2026-02-16 16:26:38,8.8,22.53,255.69
2026-02-16 16:26:48,8.8,22.53,255.69
2026-02-16 16:26:58,8.8,22.53,255.69
2026-02-16 16:27:08,8.8,22.52,255.69
2026-02-16 16:27:18,8.8,22.53,255.69
2026-02-16 16:27:28,8.8,22.52,255.69
2026-02-16 16:27:38,8.8,22.53,255.69
2026-02-16 16:27:48,8.8,22.52,255.69
2026-02-16 16:27:58,8.8,22.52,255.69
2026-02-16 16:28:08,8.8,22.53,255.69
2026-02-16 16:28:18,8.8,22.52,255.69
2026-02-16 16:28:28,8.8,22.52,255.69
2026-02-16 16:28:38,8.8,22.53,255.69
2026-02-16 16:28:48,8.8,22.53,255.69
2026-02-16 16:28:58,8.8,22.53,255.69
2026-02-16 16:29:08,8.8,22.52,255.69
2026-02-16 16:29:18,8.8,22.53,255.69
2026-02-16 16:29:28,8.8,22.53,255.69
2026-02-16 16:29:38,8.8,22.53,255.69
2026-02-16 16:29:48,8.8,22.53,255.69
2026-02-16 16:29:58,8.8,22.53,255.69
2026-02-16 16:30:08,8.8,22.54,255.69
2026-02-16 16:30:18,8.8,22.54,255.69
2026-02-16 16:30:28,8.8,22.53,255.69
2026-02-16 16:30:38,8.8,22.53,255.69
2026-02-16 16:30:48,8.8,22.53,255.69
2026-02-16 16:30:58,8.8,22.53,255.69
2026-02-16 16:31:08,8.8,22.54,255.69
2026-02-16 16:31:19,8.8,22.53,255.69
2026-02-16 16:31:29,8.8,22.53,255.69
2026-02-16 16:31:39,8.8,22.53,255.69
2026-02-16 16:31:49,8.8,22.53,255.69
2026-02-16 16:31:59,8.8,22.53,255.69
2026-02-16 16:32:09,8.8,22.52,255.69
2026-02-16 16:32:19,8.8,22.53,255.69
2026-02-16 16:32:29,8.8,22.53,255.69
2026-02-16 16:32:39,8.8,22.53,255.69
2026-02-16 16:32:49,8.8,22.52,255.69
2026-02-16 16:32:59,8.8,22.53,255.69
2026-02-16 16:33:09,8.8,22.53,255.69
2026-02-16 16:33:19,8.8,22.53,255.69
2026-02-16 16:33:29,8.8,22.53,255.69
2026-02-16 16:33:39,8.8,22.53,255.69
