Timestamp,Memory_Usage_Percent,Memory_Used_GB,Memory_Total_GB
2026-02-18 20:26:37,48.30,123.61,255.69
2026-02-18 20:26:47,48.20,123.20,255.69
2026-02-18 20:26:57,48.20,123.29,255.69
2026-02-18 20:27:07,48.30,123.50,255.69
2026-02-18 20:27:17,48.20,123.36,255.69
2026-02-18 20:27:27,48.30,123.61,255.69
2026-02-18 20:27:37,48.30,123.43,255.69
2026-02-18 20:27:47,48.20,123.32,255.69
2026-02-18 20:27:57,48.30,123.40,255.69
2026-02-18 20:28:07,48.20,123.26,255.69
2026-02-18 20:28:17,48.30,123.46,255.69
2026-02-18 20:28:27,48.40,123.70,255.69
2026-02-18 20:28:37,48.30,123.58,255.69
2026-02-18 20:28:47,48.30,123.53,255.69
2026-02-18 20:28:57,48.30,123.54,255.69
2026-02-18 20:29:07,48.30,123.58,255.69
2026-02-18 20:29:17,48.30,123.53,255.69
2026-02-18 20:29:27,48.30,123.54,255.69
2026-02-18 20:29:37,48.40,123.64,255.69
2026-02-18 20:29:47,48.30,123.49,255.69
2026-02-18 20:29:57,48.30,123.49,255.69
2026-02-18 20:30:07,48.30,123.49,255.69
2026-02-18 20:30:17,48.30,123.41,255.69
2026-02-18 20:30:27,48.40,123.69,255.69
2026-02-18 20:30:37,48.30,123.50,255.69
2026-02-18 20:30:47,48.40,123.67,255.69
2026-02-18 20:30:57,48.20,123.28,255.69
2026-02-18 20:31:07,48.20,123.34,255.69
2026-02-18 20:31:17,48.30,123.45,255.69
2026-02-18 20:31:27,48.40,123.78,255.69
2026-02-18 20:31:37,48.30,123.59,255.69
2026-02-18 20:31:47,48.30,123.54,255.69
2026-02-18 20:31:57,48.20,123.30,255.69
2026-02-18 20:32:07,48.20,123.30,255.69
2026-02-18 20:32:17,48.30,123.49,255.69
2026-02-18 20:32:27,48.40,123.71,255.69
2026-02-18 20:32:37,48.30,123.54,255.69
2026-02-18 20:32:47,48.30,123.57,255.69
2026-02-18 20:32:57,48.30,123.56,255.69
2026-02-18 20:33:07,48.30,123.41,255.69
2026-02-18 20:33:17,48.30,123.41,255.69
2026-02-18 20:33:27,48.20,123.31,255.69
2026-02-18 20:33:37,48.30,123.42,255.69
2026-02-18 20:33:47,48.30,123.46,255.69
2026-02-18 20:33:57,48.30,123.50,255.69
2026-02-18 20:34:07,48.20,123.33,255.69
2026-02-18 20:34:17,48.30,123.51,255.69
2026-02-18 20:34:27,48.30,123.39,255.69
2026-02-18 20:34:37,48.30,123.58,255.69
2026-02-18 20:34:47,48.30,123.57,255.69
2026-02-18 20:34:57,48.30,123.48,255.69
2026-02-18 20:35:07,48.30,123.44,255.69
2026-02-18 20:35:17,48.30,123.48,255.69
2026-02-18 20:35:27,48.30,123.43,255.69
2026-02-18 20:35:37,48.30,123.45,255.69
2026-02-18 20:35:47,48.30,123.52,255.69
2026-02-18 20:35:57,48.20,123.37,255.69
2026-02-18 20:36:07,48.30,123.61,255.69
2026-02-18 20:36:17,48.30,123.57,255.69
2026-02-18 20:36:28,48.30,123.42,255.69
2026-02-18 20:36:38,48.30,123.47,255.69
2026-02-18 20:36:48,48.40,123.66,255.69
2026-02-18 20:36:58,48.40,123.64,255.69
2026-02-18 20:37:08,48.40,123.66,255.69
2026-02-18 20:37:18,48.30,123.53,255.69
2026-02-18 20:37:28,48.40,123.67,255.69
2026-02-18 20:37:38,48.20,123.31,255.69
2026-02-18 20:37:48,48.40,123.65,255.69
2026-02-18 20:37:58,48.40,123.65,255.69
2026-02-18 20:38:08,48.40,123.82,255.69
2026-02-18 20:38:18,48.40,123.79,255.69
2026-02-18 20:38:28,48.40,123.73,255.69
2026-02-18 20:38:38,48.30,123.50,255.69
2026-02-18 20:38:48,48.30,123.52,255.69
2026-02-18 20:38:58,48.40,123.68,255.69
2026-02-18 20:39:08,48.40,123.84,255.69
2026-02-18 20:39:18,48.40,123.72,255.69
2026-02-18 20:39:28,48.30,123.52,255.69
2026-02-18 20:39:38,48.30,123.43,255.69
2026-02-18 20:39:48,48.30,123.58,255.69
2026-02-18 20:39:58,48.30,123.58,255.69
2026-02-18 20:40:08,48.40,123.74,255.69
2026-02-18 20:40:18,48.30,123.55,255.69
2026-02-18 20:40:28,48.30,123.48,255.69
2026-02-18 20:40:38,48.40,123.69,255.69
2026-02-18 20:40:48,48.40,123.72,255.69
2026-02-18 20:40:58,48.30,123.57,255.69
2026-02-18 20:41:08,48.30,123.62,255.69
2026-02-18 20:41:18,48.30,123.49,255.69
2026-02-18 20:41:28,48.30,123.48,255.69
2026-02-18 20:41:38,48.30,123.56,255.69
2026-02-18 20:41:48,48.40,123.88,255.69
2026-02-18 20:41:58,48.40,123.74,255.69
2026-02-18 20:42:08,48.40,123.75,255.69
2026-02-18 20:42:18,48.20,123.23,255.69
2026-02-18 20:42:28,48.40,123.76,255.69
2026-02-18 20:42:38,48.30,123.62,255.69
2026-02-18 20:42:48,48.30,123.60,255.69
2026-02-18 20:42:58,48.40,123.86,255.69
2026-02-18 20:43:08,48.40,123.71,255.69
2026-02-18 20:43:18,48.30,123.48,255.69
2026-02-18 20:43:28,48.20,123.34,255.69
2026-02-18 20:43:38,48.30,123.62,255.69
2026-02-18 20:43:48,48.40,123.76,255.69
2026-02-18 20:43:58,48.50,123.91,255.69
2026-02-18 20:44:08,48.40,123.80,255.69
2026-02-18 20:44:18,48.30,123.63,255.69
2026-02-18 20:44:28,48.30,123.50,255.69
2026-02-18 20:44:38,48.30,123.47,255.69
2026-02-18 20:44:48,48.40,123.71,255.69
2026-02-18 20:44:58,48.40,123.79,255.69
2026-02-18 20:45:08,48.40,123.71,255.69
2026-02-18 20:45:18,48.40,123.72,255.69
2026-02-18 20:45:28,48.40,123.78,255.69
2026-02-18 20:45:38,48.40,123.81,255.69
2026-02-18 20:45:48,48.30,123.57,255.69
2026-02-18 20:45:58,48.30,123.60,255.69
2026-02-18 20:46:08,48.30,123.56,255.69
2026-02-18 20:46:18,48.30,123.56,255.69
2026-02-18 20:46:28,48.40,123.82,255.69
2026-02-18 20:46:39,48.50,123.90,255.69
2026-02-18 20:46:49,48.40,123.76,255.69
2026-02-18 20:46:59,48.30,123.52,255.69
2026-02-18 20:47:09,48.30,123.46,255.69
2026-02-18 20:47:19,48.30,123.49,255.69
2026-02-18 20:47:29,48.30,123.56,255.69
2026-02-18 20:47:39,48.40,123.78,255.69
2026-02-18 20:47:49,48.40,123.72,255.69
2026-02-18 20:47:59,48.40,123.73,255.69
2026-02-18 20:48:09,48.30,123.52,255.69
2026-02-18 20:48:19,48.20,123.36,255.69
2026-02-18 20:48:29,48.40,123.76,255.69
2026-02-18 20:48:39,48.40,123.82,255.69
2026-02-18 20:48:49,48.40,123.76,255.69
2026-02-18 20:48:59,48.30,123.57,255.69
2026-02-18 20:49:09,48.40,123.73,255.69
2026-02-18 20:49:19,48.40,123.78,255.69
2026-02-18 20:49:29,48.40,123.66,255.69
2026-02-18 20:49:39,48.40,123.80,255.69
2026-02-18 20:49:49,48.40,123.83,255.69
2026-02-18 20:49:59,48.30,123.57,255.69
2026-02-18 20:50:09,48.40,123.81,255.69
2026-02-18 20:50:19,48.40,123.74,255.69
2026-02-18 20:50:29,48.30,123.61,255.69
2026-02-18 20:50:39,48.30,123.56,255.69
2026-02-18 20:50:49,48.30,123.39,255.69
2026-02-18 20:50:59,48.30,123.58,255.69
2026-02-18 20:51:09,48.40,123.67,255.69
2026-02-18 20:51:19,48.40,123.66,255.69
2026-02-18 20:51:29,48.30,123.61,255.69
2026-02-18 20:51:39,48.40,123.65,255.69
2026-02-18 20:51:49,48.30,123.53,255.69
2026-02-18 20:51:59,48.30,123.43,255.69
2026-02-18 20:52:09,48.20,123.33,255.69
2026-02-18 20:52:19,48.30,123.40,255.69
2026-02-18 20:52:29,48.40,123.75,255.69
2026-02-18 20:52:39,48.40,123.65,255.69
2026-02-18 20:52:49,48.30,123.52,255.69
2026-02-18 20:52:59,48.40,123.65,255.69
2026-02-18 20:53:09,48.30,123.48,255.69
2026-02-18 20:53:19,48.20,123.34,255.69
2026-02-18 20:53:29,48.30,123.40,255.69
2026-02-18 20:53:39,48.40,123.65,255.69
2026-02-18 20:53:49,48.40,123.74,255.69
2026-02-18 20:53:59,48.40,123.73,255.69
2026-02-18 20:54:09,48.30,123.58,255.69
2026-02-18 20:54:19,48.30,123.59,255.69
2026-02-18 20:54:29,48.30,123.58,255.69
2026-02-18 20:54:39,48.40,123.72,255.69
2026-02-18 20:54:49,48.40,123.68,255.69
2026-02-18 20:54:59,48.50,123.92,255.69
2026-02-18 20:55:09,48.40,123.74,255.69
2026-02-18 20:55:19,48.40,123.77,255.69
2026-02-18 20:55:29,48.40,123.79,255.69
2026-02-18 20:55:39,48.40,123.65,255.69
2026-02-18 20:55:49,48.40,123.69,255.69
2026-02-18 20:55:59,48.40,123.75,255.69
2026-02-18 20:56:09,48.40,123.79,255.69
2026-02-18 20:56:19,48.40,123.82,255.69
2026-02-18 20:56:29,48.40,123.78,255.69
2026-02-18 20:56:40,48.40,123.86,255.69
2026-02-18 20:56:50,48.30,123.47,255.69
2026-02-18 20:57:00,48.20,123.36,255.69
