Timestamp,IO_Usage_Percent,Read_MB_s,Write_MB_s,Read_Count,Write_Count
2026-02-18 13:25:32,0.13,0.17,0.48,8,29
2026-02-18 13:25:42,0.09,0.10,0.36,5,25
2026-02-18 13:25:52,0.03,0.04,0.13,1,6
2026-02-18 13:26:02,0.12,0.17,0.45,8,30
2026-02-18 13:26:12,0.05,0.07,0.20,2,9
2026-02-18 13:26:22,0.07,0.09,0.24,4,15
2026-02-18 13:26:32,0.04,0.05,0.17,2,8
2026-02-18 13:26:42,0.08,0.10,0.29,4,20
2026-02-18 13:26:52,0.05,0.06,0.18,2,11
2026-02-18 13:27:02,0.05,0.05,0.19,2,9
2026-02-18 13:27:12,0.09,0.12,0.33,5,23
2026-02-18 13:27:22,0.03,0.04,0.13,1,7
2026-02-18 13:27:32,0.15,0.20,0.55,11,39
2026-02-18 13:27:42,0.05,0.05,0.21,2,19
2026-02-18 13:27:52,0.03,0.04,0.14,1,7
2026-02-18 13:28:02,0.05,0.04,0.19,1,13
2026-02-18 13:28:12,0.07,0.05,0.28,2,9
2026-02-18 13:28:22,0.07,0.05,0.28,2,13
2026-02-18 13:28:32,0.04,0.03,0.17,1,10
2026-02-18 13:28:42,0.03,0.03,0.13,1,7
2026-02-18 13:28:52,0.03,0.03,0.12,1,9
2026-02-18 13:29:02,0.09,0.08,0.34,2,16
2026-02-18 13:29:12,0.11,0.10,0.43,3,22
2026-02-18 13:29:22,0.05,0.05,0.19,2,14
2026-02-18 13:29:32,0.05,0.06,0.20,2,9
2026-02-18 13:29:42,0.05,0.05,0.20,2,16
2026-02-18 13:29:52,0.03,0.03,0.11,1,6
2026-02-18 13:30:02,0.05,0.03,0.19,1,11
2026-02-18 13:30:12,0.06,0.05,0.24,2,13
2026-02-18 13:30:22,0.04,0.05,0.16,1,7
2026-02-18 13:30:32,0.10,0.08,0.45,2,11
2026-02-18 13:30:42,0.30,0.21,1.30,6,27
2026-02-18 13:30:52,0.51,0.53,2.01,6,20
2026-02-18 13:31:02,0.31,0.41,1.12,8,28
2026-02-18 13:31:12,0.07,0.09,0.27,3,14
2026-02-18 13:31:22,0.05,0.05,0.19,1,15
2026-02-18 13:31:32,0.05,0.05,0.20,2,11
2026-02-18 13:31:42,0.04,0.05,0.17,2,9
2026-02-18 13:31:52,0.04,0.04,0.15,1,11
2026-02-18 13:32:02,0.05,0.06,0.21,2,10
2026-02-18 13:32:12,0.06,0.07,0.23,2,13
2026-02-18 13:32:22,0.04,0.05,0.16,1,10
2026-02-18 13:32:32,0.10,0.11,0.37,4,17
2026-02-18 13:32:42,0.12,0.15,0.47,6,30
2026-02-18 13:32:52,0.04,0.04,0.14,1,7
2026-02-18 13:33:02,0.14,0.13,0.56,6,30
2026-02-18 13:33:12,0.19,0.28,0.66,4,14
2026-02-18 13:33:22,0.09,0.11,0.33,5,30
2026-02-18 13:33:32,0.05,0.05,0.21,2,10
2026-02-18 13:33:42,0.06,0.07,0.22,2,13
2026-02-18 13:33:52,0.05,0.06,0.19,2,12
2026-02-18 13:34:02,0.06,0.06,0.23,2,15
2026-02-18 13:34:12,0.08,0.09,0.29,2,15
2026-02-18 13:34:22,0.04,0.04,0.17,1,8
2026-02-18 13:34:32,0.11,0.16,0.40,9,30
2026-02-18 13:34:42,0.04,0.04,0.17,1,12
2026-02-18 13:34:52,0.03,0.04,0.13,1,7
2026-02-18 13:35:02,0.04,0.04,0.17,1,10
2026-02-18 13:35:12,0.05,0.06,0.20,2,10
2026-02-18 13:35:22,0.04,0.04,0.17,1,14
2026-02-18 13:35:32,0.05,0.04,0.19,2,10
2026-02-18 13:35:42,0.03,0.02,0.11,1,7
2026-02-18 13:35:52,0.04,0.04,0.15,1,10
2026-02-18 13:36:02,0.04,0.03,0.15,1,7
2026-02-18 13:36:12,0.04,0.04,0.18,1,10
2026-02-18 13:36:22,0.04,0.05,0.16,1,10
2026-02-18 13:36:32,0.05,0.06,0.21,2,13
2026-02-18 13:36:42,0.05,0.04,0.20,2,15
2026-02-18 13:36:52,0.05,0.06,0.19,2,13
2026-02-18 13:37:02,0.05,0.05,0.20,1,9
2026-02-18 13:37:12,0.05,0.06,0.21,2,13
2026-02-18 13:37:22,0.06,0.07,0.23,3,14
2026-02-18 13:37:32,0.06,0.06,0.25,3,16
2026-02-18 13:37:42,0.04,0.04,0.18,1,12
2026-02-18 13:37:52,0.04,0.05,0.16,1,8
2026-02-18 13:38:02,0.06,0.06,0.22,1,12
2026-02-18 13:38:12,0.06,0.07,0.21,2,10
2026-02-18 13:38:22,0.04,0.05,0.15,1,11
2026-02-18 13:38:32,0.04,0.05,0.18,2,10
2026-02-18 13:38:42,0.03,0.03,0.12,1,7
2026-02-18 13:38:52,0.03,0.03,0.14,1,10
2026-02-18 13:39:02,0.16,0.32,0.48,16,48
2026-02-18 13:39:12,0.07,0.07,0.28,3,20
2026-02-18 13:39:22,0.05,0.05,0.20,1,11
2026-02-18 13:39:32,0.07,0.09,0.27,4,14
2026-02-18 13:39:42,0.05,0.05,0.18,1,13
2026-02-18 13:39:52,0.05,0.05,0.18,2,12
2026-02-18 13:40:02,0.05,0.05,0.20,1,8
2026-02-18 13:40:12,0.05,0.05,0.19,1,12
2026-02-18 13:40:22,0.04,0.05,0.16,1,7
2026-02-18 13:40:32,0.06,0.06,0.24,2,11
2026-02-18 13:40:42,0.05,0.05,0.18,1,12
2026-02-18 13:40:52,0.03,0.04,0.13,1,7
2026-02-18 13:41:02,0.04,0.04,0.18,1,10
2026-02-18 13:41:12,0.04,0.04,0.17,1,9
2026-02-18 13:41:22,0.04,0.04,0.16,1,11
2026-02-18 13:41:32,0.04,0.03,0.18,1,14
2026-02-18 13:41:42,0.03,0.02,0.12,0,7
2026-02-18 13:41:52,0.04,0.03,0.15,1,9
2026-02-18 13:42:02,0.03,0.03,0.14,1,7
2026-02-18 13:42:12,0.05,0.05,0.20,1,12
2026-02-18 13:42:22,0.04,0.04,0.16,1,10
2026-02-18 13:42:32,0.03,0.03,0.14,1,6
2026-02-18 13:42:42,0.04,0.03,0.15,1,10
2026-02-18 13:42:52,0.03,0.03,0.14,1,10
2026-02-18 13:43:02,0.03,0.03,0.14,1,7
2026-02-18 13:43:12,0.05,0.04,0.18,1,12
2026-02-18 13:43:22,0.04,0.04,0.16,2,8
2026-02-18 13:43:32,0.04,0.03,0.17,1,10
2026-02-18 13:43:42,0.03,0.03,0.14,1,11
2026-02-18 13:43:53,0.03,0.03,0.13,1,6
2026-02-18 13:44:03,0.04,0.04,0.18,1,9
2026-02-18 13:44:13,0.04,0.04,0.18,1,8
2026-02-18 13:44:23,0.03,0.03,0.14,1,10
2026-02-18 13:44:33,0.04,0.04,0.16,2,8
2026-02-18 13:44:43,0.06,0.05,0.25,2,15
2026-02-18 13:44:53,0.05,0.05,0.20,2,14
2026-02-18 13:45:03,0.04,0.03,0.15,1,8
2026-02-18 13:45:13,1.23,0.05,6.09,2,27
