Timestamp,Memory_Usage_Percent,Memory_Used_GB,Memory_Total_GB
2026-02-19 19:18:05,67.60,172.75,255.69
2026-02-19 19:18:15,67.60,172.77,255.69
2026-02-19 19:18:25,67.50,172.65,255.69
2026-02-19 19:18:35,67.50,172.68,255.69
2026-02-19 19:18:45,67.50,172.62,255.69
2026-02-19 19:18:56,67.50,172.67,255.69
2026-02-19 19:19:06,67.60,172.86,255.69
2026-02-19 19:19:16,67.70,173.19,255.69
2026-02-19 19:19:26,67.70,173.22,255.69
2026-02-19 19:19:36,67.80,173.35,255.69
2026-02-19 19:19:46,67.60,172.82,255.69
2026-02-19 19:19:56,67.60,172.82,255.69
2026-02-19 19:20:06,67.60,172.88,255.69
2026-02-19 19:20:16,67.60,172.87,255.69
2026-02-19 19:20:26,67.20,171.88,255.69
2026-02-19 19:20:36,67.10,171.63,255.69
2026-02-19 19:20:46,67.20,171.75,255.69
2026-02-19 19:20:56,67.40,172.46,255.69
2026-02-19 19:21:06,67.70,173.07,255.69
2026-02-19 19:21:16,67.70,173.15,255.69
2026-02-19 19:21:26,67.70,173.17,255.69
2026-02-19 19:21:36,67.70,172.98,255.69
2026-02-19 19:21:46,67.70,173.07,255.69
2026-02-19 19:21:56,67.70,173.14,255.69
2026-02-19 19:22:06,67.80,173.24,255.69
2026-02-19 19:22:16,67.80,173.31,255.69
2026-02-19 19:22:26,67.80,173.28,255.69
2026-02-19 19:22:36,67.70,173.11,255.69
2026-02-19 19:22:46,67.70,173.03,255.69
2026-02-19 19:22:56,67.70,173.17,255.69
2026-02-19 19:23:06,67.70,173.23,255.69
2026-02-19 19:23:16,67.50,172.63,255.69
2026-02-19 19:23:26,67.40,172.38,255.69
2026-02-19 19:23:36,67.40,172.44,255.69
2026-02-19 19:23:46,67.60,172.95,255.69
2026-02-19 19:23:56,67.70,173.16,255.69
2026-02-19 19:24:06,67.80,173.36,255.69
2026-02-19 19:24:16,67.80,173.44,255.69
2026-02-19 19:24:26,67.80,173.40,255.69
2026-02-19 19:24:36,67.90,173.64,255.69
2026-02-19 19:24:46,68.00,173.76,255.69
2026-02-19 19:24:56,67.90,173.52,255.69
2026-02-19 19:25:06,67.90,173.60,255.69
2026-02-19 19:25:16,67.90,173.62,255.69
2026-02-19 19:25:26,68.00,173.80,255.69
2026-02-19 19:25:36,68.00,173.86,255.69
2026-02-19 19:25:46,67.90,173.69,255.69
2026-02-19 19:25:56,67.90,173.51,255.69
2026-02-19 19:26:06,67.90,173.49,255.69
2026-02-19 19:26:16,67.90,173.52,255.69
2026-02-19 19:26:26,67.80,173.36,255.69
2026-02-19 19:26:36,67.60,172.95,255.69
2026-02-19 19:26:46,67.60,172.76,255.69
2026-02-19 19:26:56,67.60,172.89,255.69
2026-02-19 19:27:06,67.70,173.18,255.69
2026-02-19 19:27:16,67.80,173.39,255.69
2026-02-19 19:27:26,67.80,173.34,255.69
2026-02-19 19:27:36,67.80,173.35,255.69
2026-02-19 19:27:46,67.70,173.09,255.69
2026-02-19 19:27:56,67.60,172.95,255.69
2026-02-19 19:28:06,67.70,173.22,255.69
